Dealer Name,City,X,Y,Shipping Days
MetalCorp,New York,40.7128,-74.0060,Mondays only
SteelWorks,Boston,42.3601,-71.0589,Tues/Thurs
IronForge,Philadelphia,39.9526,-75.1652,Mon/Wed
40WestBuildingSupply,Rocky Mount,36.9863,-79.9167,Tues/Thurs
84Lumber,Aberdeen,39.5275,-76.1826,Wednesdays only
84Lumber,Annapolis,39.0170,-76.4870,Mondays only
84Lumber,Bel Air,39.50806230166192,-76.38452998683003,Wednesdays only
84 Lumber,Brunswick,39.3149512633419,-77.63880367824815,Wed/Fri
84 Lumber,Christiansburg,37.135436343106214,-80.36585928867974,Tues/Thurs
84Lumber,Culpepper,38.4459,-77.9833,Mon/Thur
84 Lumber,Curtis Bay,39.17097496777188,-76.53319983630543,Wed/Fri
